,AGE_REF,TOTEXPPQ,ALCBEVPQ,READPQ,APPARPQ,ENTERTPQ
3701853,68,46083.5,1143,100,3813,6734
3701933,55,14691.7501,195,194,500,50
3702003,30,5351.1001,60,30,132,30
3702423,74,26045.2501,120,150,425,573
3702543,30,7015.6999,72,75,52,60
3713363,46,10350.5,100,66,938,1265
3713413,27,3424.3333,32,30,135,127
3713693,59,46971.3911,616,30,679,1326
3714393,26,32254.2579,250,142,100,1582
3714453,66,13773,90,170,680,760
3714843,26,6950.6667,240,10,245,548
3715123,53,9484.3333,20,42,224,245
3715213,25,2996.3333,7,70,238,136
3715403,72,12519.3333,152,239,596.6667,342
3715823,39,14934.6667,300,10,374,1783
3715913,39,14783.4666,130,200,150,496
3716513,73,11777.3333,325,80,282,677
3717063,42,27737.8333,40,27,1123,1290
3717333,25,15363.3333,150,10,23.3333,886
3717683,74,7665.8333,60,12,121,536
3717823,33,7664,150,25,285,578
3718153,35,4208.8333,180,20,272,319
3718374,33,8993.5,80,80,60,563
3718553,46,12166.1667,80,80,488,410
3719213,77,11770.3333,30,24,345,152
3719463,67,5581.3333,10,160,41,247
3719543,41,13180.9333,30,90,330,1600
3719553,53,12314.1667,700,39,130,370
3719693,80,8255,300,127,312,219
3719823,28,10543,355,39,200,611
3719924,56,26834.2784,418,13,114,540
3720083,66,6474.6667,80,63,43,579
3720323,54,10594.9334,40,50,433,106
3720453,87,49536.5579,430,1119,524.3333,58
3721123,41,15119.5001,40,60,231.3333,1022
3721263,64,50592.4411,398,269,650,3557
3721323,56,19494.8912,310,50,173.3333,366
3721683,74,114053.1667,1200,250,10227.6667,6864
3721723,66,17808.1667,242,45,462,1283
3721863,63,34481.4489,215,18,400,2165
3721983,25,5988.3333,20,170,245,70
3722533,57,45281.0001,480,215,1680,1910
3722783,51,5864.1667,122,44,45,56
3723043,61,12455.3333,120,100,1320,1447
3723143,73,9235.5001,120,208,1025,979
3723473,57,5426.5001,30,15,4,137
3723613,52,26039.8912,305,15,356.6667,3244
3723653,66,4384.6667,30,350,20,246
3734183,75,2701.6667,5,25,6.6667,116
3735993,23,4128.75,50,15,180,530
3736763,33,5807,65,50,62,705
3736783,54,16204.2122,50,20,969,1515
3737623,67,2451.6667,15,15,45,34
3738733,61,4473.6166,72,15,386.6667,425.3333
3738853,33,2039.1667,50,35,8.3333,194
3738883,42,7670.75,75,20,786,1715
3739253,60,35461.9789,140,159,1301.3333,148
3739463,42,8138.5,300,50,1163,478
3739543,33,8325.6667,160,10,390,564
3740353,42,3389.1,25,45,276,50
3740783,70,7185.9999,90,100,370,637
3741173,58,4857.2,75,30,20,137
3741913,37,5908.4167,240,15,66.6667,192
3742413,34,6893,140,19,600,2400
3743243,57,6482.5833,100,40,328,248
3744523,62,63133.3333,160,30,297,1189
3755722,57,21071.6001,447,50,460,1685
3755852,39,16241.5001,60,125,265,1206
3755882,29,12643.2501,75,35,205,885
3756172,38,30515.5502,362,75,579,1215
3756484,24,6100.3499,90,13,55,1377
3756492,45,6475,261,136,118,162
3756962,61,13608,51,60,200,246
3757092,37,23034.0001,296,40,471,2097
3757382,26,9796.25,70,30,60,958
3757752,53,33932.25,35,875,1262,4412
3757812,72,18811,240,20,25,1084
3758062,43,9373.75,440,30,621,1364
3758332,41,7840.7,280,50,45,499
3758342,34,22903.9999,624,90,907,1378
3758842,87,22679,60,21,1303,335
3759142,61,33810.0867,240,45,660,1229
3759262,26,9388.35,165,10,80,795
3759652,35,13034.5001,75,6,240,1046
3759662,24,16006.7501,2092,132,329,432
3759802,82,69720,2153,1139,172,1617
3760032,52,21911,455,223,454,9355
3760062,30,16972.9999,30,35,340,570
3760192,35,18965.5001,60,3,159,488
3760342,79,14858,900,150,780,355
3760412,58,79273.4499,188,123,700,712
3761012,74,37561,510,55,155,424
3761082,68,19051.7499,630,334,1052,1280
3761232,60,44880.6499,855,780,548,9155
3761322,39,36690.2502,660,80,741,3881
3761382,68,32672.7499,450,138,129,627
3761822,43,41094.3366,490,190,1126,4143
3761972,70,14688,742,181,640,1045
3762192,73,7875,60,132,65,428
3762522,41,23567.2499,10,12,516,645
3762552,61,19726.25,31,56,2431,705
3762712,44,26203.8501,225,50,302,1425
3762852,28,15846.8001,165,115,917,1100
3762892,45,21705.0868,750,150,886,2277
3763102,43,34273.0748,60,36,563,4290
3763142,56,76291.8248,240,85,580,732
3763152,59,30473.7499,510,20,292,847
3763354,27,21976.5,1490,60,996,937
3763522,45,24601.75,120,39,563,1244
3763582,60,12822.1001,180,150,137,221
3763712,56,9776,258,45,210,120
3763782,27,8932.5,60,45,515,520
3763852,37,13579.75,361,76,696,519
3763952,87,7841,81,2,83,541
3764072,26,64492.5,15,10,149,330
3764482,63,7612.5,30,60,80,506
3764732,52,36182.7501,380,106,1341,1576
3764752,72,17066.5499,60,93,595,1483
3765112,70,7114,272,300,151,336
3765232,63,16287,105,60,190,288
3765572,65,12915,180,60,131,1839
3765612,33,11125.7999,1050,400,255,742
3765732,61,19898.9999,900,27,200,2707
3766032,71,4913.5,41,60,40,280
3776362,56,85111.3912,40,138,4799,2160.6667
3776452,35,12175.9001,96,20,320,1626
3776742,64,11664.4999,300,32,270,386
3776872,87,33371.3912,319,741,121.6667,941
3777602,41,15824.3831,628,45,193,828
3777772,65,20787.8333,30,40,413,486
3778092,33,4950.1667,60,60,49,612
3778332,60,11126.1667,93,15,258.3333,84
3778362,34,7123.3334,775,30,312.6667,122
3778602,24,9511.4333,48,10,44,4887
3778652,57,15247.3335,200,28,176.6667,328
3778772,45,18805.6667,228,30,826,846
3778852,68,24506.6667,1650,104,111,5378
3778942,66,17707.0001,240,113,190,1563
3779242,24,4941.1667,80,15,462,154
3779292,31,15122.3334,150,72,489,420
3779372,39,16250.1,200,47,342,1533
3779662,77,9142.6667,275,111,843,307
3779952,31,60510.5578,560,45,333.3333,1513
3779962,21,4541.3333,166,10,150.6667,333
3780052,31,7416.0001,140,134,25,419
3780132,79,5494,50,130,363.6667,176
3780254,62,16337,16,60,1109.6667,2134
3780302,44,13814.2245,400,50,200,242
3780552,38,7469.1667,20,70,10,47
3780622,76,12389.8666,280,137,592.6667,379
3780932,65,27433.0578,508,310,970.3333,2279
3781642,35,17557.6667,32,60,832.6667,1753
3781692,40,22185,40,60,414.6667,1072
3781722,78,6023,40,10,50,440
3782082,68,19137.9333,300,130,50,279
3782222,46,70917.3912,100,75,1575,5532
3782392,65,9104.3333,160,24,165,343
3782902,44,7869.5,6,3,127,258
3783362,57,15128.3333,120,267,10,737
3783492,71,6576.3333,90,100,339.3333,65
3783672,68,4699,40,120,471,74
3784102,29,18601.1667,701,10,26,939
3784312,43,31204.3333,140,100,812,2158
3785662,64,7633.6667,110,96,534,150
3785742,58,16519.5001,120,75,493,1158
3785852,58,12913.3912,360,68,341,852
3786582,68,3895.6667,80,12,12,107
3797562,71,7756.5122,50,82,13.3333,405
3798092,69,10064.6789,540,75,790,130
3798422,31,4182.3333,20,44,218,242
3799042,51,9587.0833,200,47,264,1596
3799202,55,18207.9955,360,74,1202.6667,1026
3799232,68,6321.45,250,126,300,92
3799692,44,2463.5834,40,10,21.6667,130
3799752,67,6673.3334,225,30,74,433
3799992,44,4500.05,9,15,25,378
3800802,80,8713.1667,80,100,255,960
3800992,66,20496,1062,15,1601,3178
3801862,54,7532.3455,30,9,125,684
